site,center_latitude,center_longitude,MAP_mm,MAT_C,soil_order
SUC-01,-3.2519,-72.9078,2754,26.2,Ultisol
ALP-01,-3.9491,-73.4346,2760,26.3,Inceptisol
JEN-11,-4.8781,-73.6295,2700,26.6,Ultisol
SUC-05,-3.2558,-72.8942,2754,26.2,Ultisol
JEN-12,-4.899,-73.6276,2700,26.6,Entisol
ALP-40,-3.941,-73.44,2760,26.3,Entisol
ALP-30,-3.9543,-73.4267,2760,26.3,Ultisol
CUZ-03,-12.5344,-69.0539,2600,24.7,Inceptisol
TAM-06,-12.8385,-69.296,2600,24.0,Inceptisol
TAM-09,-12.8309,-69.2843,2600,24.0,Inceptisol
TAM-05,-12.8303,-69.2705,2600,24.0,Ultisol
PJL-01,-10.325,-75.2622,5020,23.1,Ultisol
PJL-02,-10.33,-75.2613,5020,23.1,Ultisol
SPD-02,-13.0491,-71.5365,4628,18.5,Inceptisol
SPD-01,-13.0475,-71.5423,4341,18.5,Inceptisol
TRU-08,-13.0702,-71.5559,4341,18.5,Entisol
TRU-04,-13.1055,-71.5893,2678,13.0,Inceptisol
ESP-01,-13.1751,-71.5948,1705,12.5,Inceptisol
TRU-03,-13.1097,-71.5995,2678,13.0,Inceptisol
TRU-01,-13.1136,-71.6069,2448,8.0,Inceptisol
