site,elevation_m,slope_deg,aspect_deg,canopy_height_m,canopy_shape_P_H,gap_size_lambda
SUC-01,116.6,7.9,187.9,24.5,0.558,1.84
ALP-01,131.0,8.1,176.4,22.5,0.629,1.96
JEN-11,131.2,9.4,192.9,23.7,0.6,1.93
SUC-05,131.8,2.1,173.8,24.9,0.595,1.81
JEN-12,134.9,4.6,175.3,16.5,0.417,2.03
ALP-40,141.5,5.0,153.8,15.1,0.29,2.21
ALP-30,142.4,2.4,179.1,21.9,0.564,1.84
CUZ-03,204.9,3.0,177.7,24.0,0.609,1.88
TAM-06,214.8,4.0,169.4,18.2,0.5,1.78
TAM-09,219.2,4.4,192.9,21.1,0.548,1.8
TAM-05,223.3,6.9,186.2,21.0,0.526,1.91
PJL-01,496.2,6.7,182.3,21.2,0.568,1.87
PJL-02,884.1,31.8,121.4,20.8,0.512,1.85
SPD-02,1493.9,39.0,143.5,18.4,0.442,1.77
SPD-01,1712.9,40.1,141.9,16.9,0.462,1.88
TRU-08,1831.5,41.8,137.0,12.1,0.2,1.74
TRU-04,2719.1,28.6,189.8,14.1,0.091,1.73
ESP-01,2868.3,29.5,246.4,9.0,0.115,1.79
TRU-03,2989.5,37.6,129.3,12.9,0.125,1.79
TRU-01,3379.3,34.3,144.3,8.9,0.077,1.86
